1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
1,90168;1,90697;1,32746;1,33405;1,35746;1,3596;1,36617;1,40191;1,56628;1,57899;1,57763;1,59648;1,73131;1,73238;1,73042;1,73232;80,7864
1,8871;1,90409;1,32658;1,33472;1,36923;1,36929;1,37575;1,40434;1,57223;1,57325;1,5805;1,61315;1,7338;1,73443;1,73453;1,73769;80,7483
1,8896;1,91752;1,32515;1,32924;1,356;1,36052;1,36418;1,39423;1,56837;1,57054;1,5843;1,5952;1,73266;1,7375;1,73459;1,74017;80,8035
1,88749;1,95783;1,32707;1,33265;1,35735;1,35666;1,36848;1,38387;1,56746;1,58028;1,57528;1,59349;1,73618;1,73107;1,7325;1,73042;81,0425
1,88248;1,90468;1,3296;1,34002;1,36623;1,36047;1,36073;1,39815;1,57159;1,57637;1,57337;1,61334;1,73266;1,73255;1,73197;1,73415;81,3118
1,89288;1,92136;1,32615;1,33014;1,35953;1,36451;1,37977;1,4156;1,5702;1,57143;1,58396;1,59965;1,72745;1,73229;1,73589;1,73684;80,8153
1,88268;1,94405;1,32324;1,33615;1,35909;1,3627;1,3638;1,39366;1,57015;1,58102;1,57167;1,59874;1,73062;1,73335;1,73495;1,73205;80,666
1,88319;1,97432;1,33046;1,33546;1,35883;1,36084;1,36782;1,39003;1,57315;1,57022;1,57251;1,60398;1,73371;1,73016;1,7359;1,73185;81,3809
1,89032;1,91323;1,32719;1,33275;1,36696;1,36771;1,38319;1,42056;1,57281;1,57305;1,58247;1,60282;1,72946;1,72923;1,7358;1,73097;80,9449
1,87947;1,92983;1,32554;1,33104;1,35532;1,3596;1,36763;1,40004;1,57438;1,5756;1,5735;1,60306;1,73138;1,73281;1,73259;1,73561;80,7355
