1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0452812;0,0494844;0,034677;0,0345272;0,0341047;0,0341852;0,0349463;0,0366637;0,0376824;0,0374353;0,0388708;0,0391849;0,0415152;0,0409165;0,0429057;0,0420852;0,32665
0,0494943;0,0497252;0,0347134;0,0367112;0,0335566;0,0339055;0,0353789;0,0362083;0,0390451;0,0391181;0,0402004;0,0394187;0,0422283;0,0415073;0,0434215;0,0464448;0,326089
0,0492318;0,0478465;0,0333481;0,0343217;0,0343116;0,0358069;0,0359712;0,0362028;0,0379963;0,039599;0,03971;0,039987;0,0418416;0,0403239;0,0430212;0,0412789;0,323009
0,0476256;0,0497371;0,0352731;0,0332252;0,035309;0,0349823;0,0340477;0,0351259;0,0373397;0,0390297;0,040156;0,0399384;0,0423618;0,041213;0,0429833;0,0420424;0,324977
0,0462629;0,0499019;0,0352378;0,0354855;0,036343;0,0331388;0,0343116;0,0375318;0,0387018;0,037578;0,0378452;0,0394125;0,040369;0,0401203;0,0400802;0,0407817;0,325235
0,046466;0,0483714;0,0348567;0,035108;0,0353885;0,0347105;0,0342474;0,0381688;0,0389984;0,0397026;0,0390959;0,0392964;0,041;0,0400651;0,0433506;0,0406384;0,324295
0,0485641;0,049427;0,0355263;0,0384475;0,033416;0,0331882;0,0356635;0,0358832;0,0403814;0,039357;0,0384829;0,0393172;0,0409625;0,041959;0,0409544;0,042842;0,323851
0,0476201;0,0494556;0,0341447;0,0378718;0,0358752;0,0344759;0,0350615;0,0360047;0,0391197;0,0377889;0,0411315;0,0396721;0,0409337;0,0422831;0,0427415;0,0418549;0,32508
0,0476808;0,0494201;0,0360187;0,0350568;0,0360011;0,0351173;0,0353477;0,0363492;0,0373264;0,037577;0,0386329;0,0390397;0,0416316;0,041954;0,0407179;0,0411375;0,324125
0,0559913;0,0489283;0,0341174;0,0352605;0,0344841;0,0353512;0,0347868;0,0357455;0,0388018;0,0387769;0,0392085;0,0396755;0,0415689;0,042139;0,0415247;0,0405159;0,327622
