1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,140324;0,147125;0,0987365;0,0995988;0,101432;0,0997751;0,103882;0,106816;0,117162;0,116727;0,118309;0,119354;0,127545;0,127321;0,12609;0,125794;11,2035
0,139221;0,139737;0,0989798;0,0970225;0,101812;0,101618;0,102862;0,104396;0,116114;0,117132;0,118715;0,119718;0,127933;0,127233;0,125901;0,126935;11,2008
0,140411;0,142064;0,0999925;0,100201;0,101157;0,10176;0,103044;0,103851;0,116226;0,117298;0,11539;0,117101;0,127198;0,127179;0,128867;0,126681;11,2161
0,140765;0,145878;0,0995877;0,100329;0,100685;0,101144;0,10186;0,105545;0,116303;0,116454;0,11473;0,117579;0,12774;0,127532;0,126281;0,128259;11,2201
0,140143;0,14492;0,100451;0,098183;0,101795;0,102731;0,103855;0,105565;0,116772;0,116924;0,116925;0,12027;0,126869;0,127301;0,126682;0,128177;11,205
0,139186;0,139664;0,100757;0,100042;0,100491;0,102169;0,101791;0,106199;0,116288;0,116059;0,116565;0,119583;0,127825;0,12705;0,126316;0,127704;11,2029
0,138891;0,138223;0,0986862;0,0995817;0,100825;0,0997456;0,10444;0,102956;0,116308;0,116849;0,117929;0,118403;0,126822;0,127301;0,126462;0,126202;11,2222
0,14071;0,13792;0,0990458;0,100786;0,102329;0,0997711;0,103109;0,104084;0,115397;0,116175;0,115201;0,118219;0,128367;0,127197;0,126397;0,127003;11,2002
0,139777;0,14243;0,0995481;0,10136;0,0989157;0,101001;0,10527;0,108141;0,115546;0,117083;0,11518;0,121538;0,128491;0,126742;0,125853;0,126338;11,2029
0,138785;0,147895;0,100249;0,101137;0,101943;0,101031;0,103591;0,104763;0,116208;0,117714;0,116368;0,119133;0,127406;0,125839;0,12655;0,126371;11,2041
