1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
3,24646;3,31406;2,26139;2,28073;2,32589;2,32466;2,33143;2,37978;2,66074;2,66986;2,67896;2,71997;2,92213;2,91722;2,91726;2,92258;5,00877
3,24356;3,25936;2,26693;2,27396;2,31498;2,31601;2,3508;2,41998;2,66185;2,66131;2,68215;2,70103;2,92365;2,92244;2,92308;2,92665;5,00209
3,23496;3,27759;2,26513;2,27895;2,32049;2,31512;2,32834;2,37763;2,65387;2,66964;2,67541;2,72066;2,92385;2,922;2,92504;2,9206;5,00702
3,23853;3,31572;2,2736;2,27562;2,31555;2,32391;2,3434;2,39871;2,66185;2,66289;2,67849;2,72532;2,92573;2,92117;2,92393;2,92639;5,00466
3,23778;3,26935;2,26303;2,28158;2,32321;2,31775;2,33212;2,38374;2,66117;2,66785;2,68025;2,70974;2,92764;2,92494;2,91945;2,92548;5,02572
3,23518;3,27852;2,27237;2,27028;2,30961;2,3337;2,34002;2,40577;2,66201;2,66708;2,65979;2,72715;2,92657;2,92595;2,92222;2,92478;5,00353
3,24307;3,32141;2,26425;2,28151;2,31885;2,31666;2,33103;2,37887;2,66321;2,6577;2,67777;2,7194;2,9236;2,92704;2,92218;2,92367;5,01152
3,24126;3,26504;2,26103;2,2756;2,31462;2,32583;2,34948;2,39571;2,65858;2,66841;2,66869;2,72605;2,92594;2,92682;2,91913;2,92408;5,02107
3,22948;3,37312;2,26781;2,28093;2,31893;2,32154;2,33226;2,38084;2,66139;2,6628;2,67557;2,70412;2,92308;2,92104;2,92577;2,92684;5,00178
3,24717;3,28545;2,26516;2,27489;2,31437;2,32324;2,34816;2,3996;2,6574;2,66808;2,65891;2,71955;2,92171;2,9199;2,92956;2,91658;4,99856
