1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0643813;0,0707144;0,0665855;0,066117;0,0706896;0,069943;0,0731821;0,0714528;0,0790556;0,0795122;0,0803924;0,0810647;0,0867833;0,0857005;0,0862967;0,0879814;0,55924
0,0678088;0,0660393;0,0710522;0,0687667;0,0710066;0,070073;0,0713344;0,0743385;0,079086;0,0790771;0,0810281;0,0811227;0,0871145;0,0861921;0,085711;0,087248;0,558445
0,067683;0,0662887;0,071448;0,070855;0,0723597;0,0716756;0,0737666;0,0723529;0,0773694;0,077697;0,0800033;0,080445;0,087133;0,0859103;0,0857455;0,0858475;0,557899
0,0682153;0,0663409;0,0702423;0,0687669;0,0705887;0,0695585;0,0700581;0,0710232;0,0794594;0,0794968;0,0781839;0,0803406;0,0866552;0,0865031;0,0859542;0,0875046;0,554119
0,0649071;0,0698681;0,0704763;0,0700572;0,069009;0,0711154;0,0735191;0,0722676;0,0806143;0,080228;0,0786016;0,081139;0,0872113;0,0863832;0,0867806;0,0859951;0,555657
0,0705388;0,0688271;0,06953;0,0711916;0,0669271;0,0711251;0,0691728;0,0720125;0,081093;0,0809439;0,0818914;0,0822369;0,0874777;0,0859894;0,088342;0,0864773;0,55305
0,0664348;0,0689203;0,0697467;0,0689466;0,0714401;0,0725687;0,0722493;0,0741479;0,0801366;0,0805587;0,0802169;0,0789754;0,08707;0,0876903;0,0888449;0,085806;0,554556
0,0653535;0,0710472;0,0699654;0,0712173;0,0703022;0,070941;0,071243;0,0729984;0,0804362;0,0796867;0,0810754;0,0787931;0,0877911;0,0877409;0,0875999;0,086185;0,552916
0,0676998;0,068074;0,0716827;0,0710053;0,0719932;0,0701163;0,0707317;0,0721218;0,0799121;0,079472;0,0793257;0,0827821;0,0874203;0,0868413;0,0876672;0,0864119;0,55272
0,0648473;0,0642252;0,0688686;0,0710761;0,0693504;0,0710318;0,0712338;0,0733992;0,0809471;0,0803473;0,0798085;0,080337;0,0872199;0,0880885;0,0880223;0,0881146;0,561781
