1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;merged
0,0226315;0,024008;0,0237809;0,0234668;0,0239368;0,0241508;0,0242515;0,0243178;0,0245887;0,0274441;0,0271942;0,027199;0,0276868;0,0280808;0,026921;0,0285715;2,55276
0,0245815;0,0237153;0,0243809;0,0253953;0,0209912;0,0234261;0,0241405;0,0247798;0,0268623;0,0259207;0,0265874;0,0279611;0,0275599;0,0269229;0,0277831;0,0269822;2,54289
0,0225365;0,0235401;0,0244039;0,0246317;0,0255665;0,0247949;0,0244922;0,026865;0,0258007;0,0269699;0,027425;0,0276116;0,0268375;0,0286757;0,0293315;0,0268996;2,54843
0,0213079;0,0258697;0,0242469;0,0248685;0,0251028;0,0246568;0,0254285;0,0232558;0,0268073;0,0278177;0,0267983;0,029085;0,0290433;0,0271521;0,0282321;0,0289125;2,54116
0,0252418;0,0246532;0,0251447;0,0234907;0,0235873;0,024467;0,0240514;0,0265287;0,0263767;0,0269043;0,0260903;0,0264231;0,0278823;0,0289492;0,0287926;0,0286864;2,5545
0,0228557;0,0242305;0,0207941;0,0235791;0,0247238;0,0249803;0,0250244;0,0260034;0,0261905;0,0275164;0,026708;0,0274381;0,0268398;0,0290821;0,0273767;0,0284238;2,5337
0,0228846;0,0256913;0,0256494;0,0252803;0,025606;0,0244991;0,02424;0,0243218;0,0269985;0,0263982;0,0256016;0,027189;0,0277525;0,0274444;0,0286626;0,027031;2,54919
0,0242847;0,0204879;0,0242294;0,0253162;0,0246677;0,0246262;0,0236548;0,0263253;0,0269183;0,026871;0,0269629;0,0278907;0,0272876;0,0268675;0,0268912;0,0289516;2,5381
0,0215939;0,0239003;0,0251755;0,0242976;0,0251271;0,0250561;0,0237895;0,026146;0,0258139;0,0277455;0,0266161;0,028495;0,0282061;0,0289167;0,0268194;0,0277617;2,55604
0,02145;0,0231682;0,0244715;0,0247762;0,024188;0,0220654;0,023794;0,0229907;0,025241;0,0265619;0,0257749;0,0268077;0,026933;0,0278091;0,0276655;0,0282886;2,53356
